locale,lat,lng
"Apache, Arizona",33.3833876,-110.1006467
"Cochise, Arizona",32.1139688,-109.9211756
"Coconino, Arizona",35.6647545,-111.4752851
"Gila, Arizona",33.6370567,-110.5215459
"Graham, Arizona",33.076805,-109.7591675
"Greenlee, Arizona",33.2405598,-109.2831531
"La Paz, Arizona",34.0061091,-113.9536466
"Maricopa, Arizona",33.0581063,-112.0476423
"Mohave, Arizona",35.2143346,-113.7632828
"Navajo, Arizona",36.0672173,-109.1880047
"Pima, Arizona",32.057499,-111.6660725
"Pinal, Arizona",32.8162061,-111.2845025
"Santa Cruz, Arizona",31.5986127,-110.8076084
"Yavapai, Arizona",34.6463981,-112.4291464
"Yuma, Arizona",32.6926512,-114.6276916
"Arkansas, Arkansas",35.20105,-91.8318334
"Ashley, Arkansas",33.1565939,-91.7538817
"Baxter, Arkansas",36.3261815,-92.38136209999999
"Benton, Arkansas",34.5645371,-92.586828
"Boone, Arkansas",36.3118662,-93.0175712
"Bradley, Arkansas",33.0981881,-93.6548983
"Carroll, Arkansas",36.2987495,-93.5003454
"Chicot, Arkansas",33.2056751,-91.2865023
"Clark, Arkansas",34.0232374,-93.17796589999999
"Clay, Arkansas",36.3492244,-90.37483540000001
"Cleburne, Arkansas",35.4605769,-92.0665197
"Cleveland, Arkansas",35.4214685,-92.7096079
"Columbia, Arkansas",33.1285176,-93.17796589999999
"Conway, Arkansas",35.0886963,-92.4421011
"Craighead, Arkansas",35.8260959,-90.6773046
"Crawford, Arkansas",35.5762761,-94.315422
"Crittenden, Arkansas",35.3021443,-90.37483540000001
"Cross, Arkansas",35.2998913,-90.8294002
"Dallas, Arkansas",34.53594030000001,-94.2190985
"Desha, Arkansas",33.8773585,-91.44346900000001
"Drew, Arkansas",33.5156463,-91.7538817
"Faulkner, Arkansas",35.1035858,-92.38136209999999
"Franklin, Arkansas",36.170346,-91.7759792
"Fulton, Arkansas",33.6145649,-93.81351640000001
"Garland, Arkansas",33.3629029,-93.70990119999999
"Grant, Arkansas",34.2628015,-92.4208713
"Greene, Arkansas",36.1314931,-90.563609
"Hempstead, Arkansas",33.6530112,-93.66232389999999
"Hot Spring, Arkansas",34.5037004,-93.0551795
"Howard, Arkansas",34.1318213,-94.028678
"Independence, Arkansas",35.8174139,-91.5983959
"Izard, Arkansas",36.1610924,-91.9099238
"Jackson, Arkansas",35.6479574,-91.13530200000001
"Jefferson, Arkansas",34.227351,-91.9099238
"Johnson, Arkansas",36.1328564,-94.16548209999999
"Lafayette, Arkansas",33.2511695,-93.62178019999999
"Lawrence, Arkansas",35.9969735,-91.13530200000001
"Lee, Arkansas",34.7712669,-90.8294002
"Lincoln, Arkansas",35.949526,-94.4235482
"Little River, Arkansas",33.6808926,-94.19234000000002
"Logan, Arkansas",36.2009127,-94.38743439999999
"Lonoke, Arkansas",34.7839795,-91.8998611
"Madison, Arkansas",35.0131472,-90.72260969999999
"Marion, Arkansas",35.2145336,-90.1964835
"Miller, Arkansas",33.3335556,-93.86553029999999
"Mississippi, Arkansas",35.8279728,-90.0746767
"Monroe, Arkansas",34.5918747,-91.13530200000001
"Montgomery, Arkansas",34.5424074,-93.66232389999999
"Nevada, Arkansas",33.6621386,-93.33889169999999
"Newton, Arkansas",35.9603994,-93.17796589999999
"Ouachita, Arkansas",34.5003918,-94.5004891
"Perry, Arkansas",35.0475869,-92.7940557
"Phillips, Arkansas",34.4611206,-90.86751339999999
"Pike, Arkansas",34.1876975,-93.66232389999999
"Poinsett, Arkansas",35.6078586,-90.6393702
"Polk, Arkansas",34.5268097,-94.15137639999999
"Pope, Arkansas",35.440627,-93.0175712
"Prairie, Arkansas",34.7636336,-91.5983959
"Pulaski, Arkansas",34.75386150000001,-92.2236667
"Randolph, Arkansas",36.3457918,-90.9820668
"Saline, Arkansas",34.5708215,-92.539603
"Scott, Arkansas",34.6964808,-92.0962552
"Searcy, Arkansas",35.2468204,-91.73368459999999
"Sebastian, Arkansas",35.2260397,-94.315422
"Sevier, Arkansas",34.0346222,-94.27436279999999
"Sharp, Arkansas",36.16759740000001,-91.44346900000001
"St. Francis, Arkansas",36.4533933,-90.1453751
"Stone, Arkansas",35.2912188,-93.5171156
"Union, Arkansas",36.0686588,-94.1759132
"Unknown, Arkansas",36.4012251,-93.73784429999999
"Van Buren, Arkansas",35.436756,-94.34826799999999
"Washington, Arkansas",33.774005,-93.68267960000001
"White, Arkansas",35.2900612,-91.7538817
"Woodruff, Arkansas",35.1215846,-91.13530200000001
"Yell, Arkansas",35.0810824,-93.33889169999999
"Alameda, California",37.7798721,-122.2821855
"Alpine, California",32.8350521,-116.7664109
"Amador, California",38.3488921,-120.7740931
"Butte, California",39.6253952,-121.5370003
"Calaveras, California",38.1960477,-120.6805037
"Colusa, California",39.2143343,-122.0094175
"Contra Costa, California",37.8534093,-121.9017954
"Del Norte, California",41.7076287,-123.9659708
"El Dorado, California",38.74263759999999,-120.4357631
"Fresno, California",36.7377981,-119.7871247
"Glenn, California",39.5218283,-122.0138651
"Humboldt, California",40.7450055,-123.8695086
"Imperial, California",32.8475528,-115.5694391
"Inyo, California",36.3091865,-117.5495846
"Kern, California",35.4937274,-118.8596804
"Kings, California",33.857156,-118.085575
"Lake, California",39.05819049999999,-122.831015
"Lassen, California",40.5394389,-120.7120023
"Los Angeles, California",34.0522342,-118.2436849
"Madera, California",36.9613356,-120.0607176
"Marin, California",38.083403,-122.7633036
"Mariposa, California",37.4849377,-119.9662843
"Mendocino, California",39.3076744,-123.7994591
"Merced, California",37.3021632,-120.4829677
"Mono, California",37.9218608,-118.9528645
"Monterey, California",36.6002378,-121.8946761
"Napa, California",38.2975381,-122.286865
"Nevada, California",39.2615606,-121.0160594
"Orange, California",33.7879139,-117.8531007
"Placer, California",39.0915751,-120.8039474
"Plumas, California",39.99268319999999,-120.8039474
"Riverside, California",33.9806005,-117.3754942
"Sacramento, California",38.5815719,-121.4943996
"San Benito, California",36.5760883,-120.9876321
"San Bernardino, California",34.1083449,-117.2897652
"San Diego, California",32.715738,-117.1610838
"San Francisco, California",37.7749295,-122.4194155
"San Joaquin, California",37.9175935,-121.1710389
"San Luis Obispo, California",35.2827524,-120.6596156
"San Mateo, California",37.5629917,-122.3255254
"Santa Barbara, California",34.4208305,-119.6981901
"Santa Clara, California",37.3541079,-121.9552356
"Santa Cruz, California",36.9741171,-122.0307963
"Shasta, California",40.598119,-122.4907566
"Sierra, California",39.5084797,-119.7579001
"Siskiyou, California",41.7743261,-122.5770126
"Solano, California",38.3104969,-121.9017954
"Sonoma, California",38.291859,-122.4580356
"Stanislaus, California",37.5090711,-120.9876321
"Sutter, California",39.1598915,-121.7527482
"Tehama, California",40.0271015,-122.1233228
"Trinity, California",34.068305,-118.273538
"Tulare, California",36.2077288,-119.3473379
"Tuolumne, California",37.9627027,-120.2412999
"Ventura, California",34.2804923,-119.2945199
"Yolo, California",38.732968,-121.8072828
"Yuba, California",39.2547027,-121.3998995
"Adams, Colorado",39.8398269,-104.1930918
"Alamosa, Colorado",37.4694491,-105.8700214
"Arapahoe, Colorado",39.62031,-104.332644
"Archuleta, Colorado",37.1604318,-107.0067031
"Baca, Colorado",37.394731,-102.5298028
"Bent, Colorado",38.0036339,-103.0817903
"Boulder, Colorado",40.0149856,-105.2705456
"Broomfield, Colorado",39.9205411,-105.0866504
"Chaffee, Colorado",38.7536679,-106.2522143
"Cheyenne, Colorado",38.8002562,-102.6216211
"Clear Creek, Colorado",39.7966884,-105.042603
"Conejos, Colorado",37.0883453,-106.0197445
"Costilla, Colorado",37.2049596,-105.5005483
"Crowley, Colorado",38.1930606,-103.8560646
"Custer, Colorado",38.0615578,-105.3131185
"Delta, Colorado",38.8531357,-107.763621
"Denver, Colorado",39.7392358,-104.990251
"Douglas, Colorado",39.2587106,-104.9388853
"Eagle, Colorado",38.206437,-104.626978
"El Paso, Colorado",38.9108325,-104.4723301
"Elbert, Colorado",39.2194678,-104.5371508
"Fremont, Colorado",38.5306514,-105.5005483
"Garfield, Colorado",39.6584775,-107.763621
"Gilpin, Colorado",39.8770159,-105.4536718
"Grand, Colorado",40.0727382,-106.0640179
"Gunnison, Colorado",38.5458246,-106.9253207
"Hinsdale, Colorado",37.9316309,-107.3848831
"Huerfano, Colorado",37.6125984,-104.9388853
"Jefferson, Colorado",39.5800298,-105.2662931
"Kit Carson, Colorado",38.7611129,-102.7893667
"La Plata, Colorado",37.2125857,-107.763621
"Lake, Colorado",40.148056,-105.865833
"Larimer, Colorado",40.6955572,-105.5943388
"Las Animas, Colorado",38.0666735,-103.222708
"Lincoln, Colorado",39.0457549,-103.3587288
"Logan, Colorado",40.7056181,-102.989615
"Mesa, Colorado",39.0808594,-108.5543371
"Mineral, Colorado",38.87489,-104.904461
"Moffat, Colorado",37.9988882,-105.9100156
"Montezuma, Colorado",39.581098,-105.8672337
"Montrose, Colorado",38.4783198,-107.8761738
"Morgan, Colorado",40.2989226,-103.7289167
"Otero, Colorado",37.9397663,-103.6362715
"Ouray, Colorado",38.0227716,-107.6714487
"Park, Colorado",39.7371015,-104.9854953
"Phillips, Colorado",40.53713339999999,-102.3463875
"Pitkin, Colorado",38.6091612,-106.5166957
"Prowers, Colorado",37.84337560000001,-102.2547919
"Pueblo, Colorado",38.2544472,-104.6091409
"Rio Blanco, Colorado",39.9814297,-108.2377519
"Rio Grande, Colorado",37.5749508,-106.4405872
"Routt, Colorado",40.4771623,-107.1011931
"Saguache, Colorado",38.0875,-106.1419671
"San Juan, Colorado",37.7573704,-107.71625
"San Miguel, Colorado",37.9781237,-108.1428669
"Summit, Colorado",39.5911871,-106.0640179
"Teller, Colorado",38.86115789999999,-105.1726816
"Washington, Colorado",40.063745,-102.989615
"Weld, Colorado",40.3920718,-104.7158226
"Yuma, Colorado",40.1222084,-102.7252096
"Fairfield, Connecticut",41.1408363,-73.2612615
"Hartford, Connecticut",41.7658043,-72.6733723
"Litchfield, Connecticut",41.7472642,-73.1887165
"Middlesex, Connecticut",41.46985050000001,-72.4731529
"New Haven, Connecticut",41.308274,-72.9278835
"New London, Connecticut",41.3556539,-72.0995209
"Tolland, Connecticut",41.8714865,-72.3686931
"Unknown, Connecticut",41.6032207,-73.087749
"Windham, Connecticut",41.6998208,-72.1570219
"Kent, Delaware",39.1440612,-75.4344727
"New Castle, Delaware",39.6620397,-75.5668166
"Sussex, Delaware",38.65308410000001,-75.4344727
"Unknown, Delaware",38.9108325,-75.52766989999999
"District of Columbia, District of Columbia",38.9071923,-77.0368707
"Alachua, Florida",29.7938144,-82.49442260000001
"Baker, Florida",30.7971318,-86.681344
"Bay, Florida",30.1805306,-85.684578
"Bradford, Florida",29.97238179999999,-82.1713632
"Brevard, Florida",28.263933,-80.7214417
"Broward, Florida",26.190096,-80.365865
"Calhoun, Florida",30.3475302,-85.1894045
"Charlotte, Florida",26.8946009,-81.909826
"Citrus, Florida",29.026015,-82.156167
"Clay, Florida",28.7731278,-81.2485449
"Collier, Florida",26.069985,-81.42789839999999
"Columbia, Florida",30.1812696,-82.605118
"DeSoto, Florida",27.2142078,-81.77870209999999
"Dixie, Florida",29.5207227,-83.1649001
"Duval, Florida",30.3500511,-81.6035062
"Escambia, Florida",30.6389408,-87.3413599
"Flagler, Florida",29.4086072,-81.2518833
"Franklin, Florida",29.7817695,-84.8567932
"Gadsden, Florida",30.5562947,-84.6479124
"Gilchrist, Florida",29.6871128,-82.82097399999999
"Glades, Florida",26.984415,-81.0754657
"Gulf, Florida",29.8001623,-85.35496499999999
"Hamilton, Florida",30.47559579999999,-82.95015579999999
"Hardee, Florida",27.4501733,-81.8224362
"Hendry, Florida",26.6105319,-81.0754657
"Hernando, Florida",28.8999815,-82.37454009999999
"Highlands, Florida",27.3400286,-81.34002679999999
"Hillsborough, Florida",27.9903597,-82.3017728
"Holmes, Florida",30.8740806,-85.80766
"Indian River, Florida",28.2142068,-80.6431877
"Jackson, Florida",30.7150882,-85.1894045
"Jefferson, Florida",30.4311978,-83.8897057
"Lafayette, Florida",30.0299573,-83.2077645
"Lake, Florida",26.9689536,-80.79758340000001
"Lee, Florida",30.4196584,-83.30042159999999
"Leon, Florida",30.4906177,-84.1857115
"Levy, Florida",29.3178545,-82.82097399999999
"Liberty, Florida",30.1507777,-84.8567932
"Madison, Florida",30.4693772,-83.41292539999999
"Manatee, Florida",28.7904427,-82.6131406
"Marion, Florida",29.2787765,-82.12783999999999
"Martin, Florida",27.0804935,-80.4103957
"Miami-Dade, Florida",25.5516034,-80.6326916
"Monroe, Florida",24.5557001,-81.78259849999999
"Nassau, Florida",30.5927334,-81.8224362
"Okaloosa, Florida",30.57734009999999,-86.6611083
"Okeechobee, Florida",27.2439349,-80.82978279999999
"Orange, Florida",28.0614919,-81.90736249999999
"Osceola, Florida",28.1019838,-81.0754657
"Palm Beach, Florida",26.7056206,-80.0364297
"Pasco, Florida",28.3232418,-82.4319405
"Pinellas, Florida",27.876394,-82.7778579
"Polk, Florida",27.8617347,-81.6911559
"Putnam, Florida",29.6265157,-81.77870209999999
"Santa Rosa, Florida",30.7689907,-86.9824288
"Sarasota, Florida",27.3364347,-82.53065269999999
"Seminole, Florida",27.8397466,-82.79121339999999
"St. Johns, Florida",30.0820653,-81.5471201
"St. Lucie, Florida",27.499208,-80.34219840000002
"Sumter, Florida",28.6747526,-82.08429009999999
"Suwannee, Florida",29.3288499,-83.14429439999999
"Taylor, Florida",30.0993767,-83.67739279999999
"Union, Florida",30.0745112,-82.34518899999999
"Unknown, Florida",25.9837079,-81.6650857
"Volusia, Florida",29.0279842,-81.0754657
"Wakulla, Florida",30.1301689,-84.3542049
"Walton, Florida",30.56401989999999,-86.17517590000001
"Washington, Florida",30.548737,-85.684578
"Appling, Georgia",33.54609000000001,-82.3163154
"Atkinson, Georgia",31.2932161,-82.8640623
"Bacon, Georgia",31.5412085,-82.4319405
"Baker, Georgia",32.4334473,-93.71081459999999
"Baldwin, Georgia",33.0338083,-83.2934086
"Banks, Georgia",33.2768209,-84.29078799999999
"Barrow, Georgia",34.0142667,-83.6986568
"Bartow, Georgia",32.8787666,-82.4737399
"Ben Hill, Georgia",31.7664035,-83.2077645
"Berrien, Georgia",31.3118535,-83.2077645
"Bibb, Georgia",32.7865735,-83.7199136
"Bleckley, Georgia",32.4087854,-83.3789389
"Brantley, Georgia",31.1510963,-81.9971108
"Brooks, Georgia",30.8730159,-83.54965659999999
"Bryan, Georgia",32.0236584,-81.47183869999999
"Bulloch, Georgia",32.3595678,-81.77870209999999
"Burke, Georgia",37.6864069,-97.3398453
"Butts, Georgia",33.4414767,-83.26433329999999
"Calhoun, Georgia",34.502587,-84.9510542
"Camden, Georgia",30.898276,-81.6035062
"Candler, Georgia",32.4241804,-82.08429009999999
"Carroll, Georgia",33.5642239,-85.0649071
"Catoosa, Georgia",34.8981727,-85.14793639999999
"Charlton, Georgia",30.7917361,-82.08429009999999
"Chatham, Georgia",31.9994194,-81.1196075
"Chattahoochee, Georgia",32.2952274,-84.8150781
"Chattooga, Georgia",34.4632661,-85.31362179999999
"Cherokee, Georgia",34.2514526,-84.4802606
"Clarke, Georgia",33.9519347,-83.357567
"Clay, Georgia",33.774409,-84.398681
"Clayton, Georgia",34.8781479,-83.4009933
"Clinch, Georgia",30.9716985,-82.82097399999999
"Cobb, Georgia",33.8999297,-84.56414699999999
"Coffee, Georgia",33.7528245,-84.3862975
"Colquitt, Georgia",31.17129349999999,-84.7332527
"Columbia, Georgia",33.5098514,-82.25832969999999
"Cook, Georgia",31.1428037,-83.46435509999999
"Coweta, Georgia",33.3716708,-84.7315563
"Crawford, Georgia",33.7026975,-84.4302024
"Crisp, Georgia",31.8875724,-83.804868
"Dade, Georgia",34.9109017,-85.47880649999999
"Dawson, Georgia",34.412912,-84.14351359999999
"DeKalb, Georgia",33.7956441,-84.2278796
"Decatur, Georgia",33.7748275,-84.2963123
"Dodge, Georgia",34.0954235,-84.01043349999999
"Dooly, Georgia",32.1593447,-83.804868
"Dougherty, Georgia",31.5439375,-84.2278796
"Douglas, Georgia",33.7290225,-84.7315563
"Early, Georgia",31.3901106,-84.8984775
"Echols, Georgia",30.7503289,-82.95015579999999
"Effingham, Georgia",32.378148,-81.38393260000001
"Elbert, Georgia",34.0795372,-82.8640623
"Emanuel, Georgia",32.5726629,-82.3017728
"Evans, Georgia",35.9608148,-86.519727
"Fannin, Georgia",34.8580405,-84.2278796
"Fayette, Georgia",33.4502206,-84.4802606
"Floyd, Georgia",34.2828967,-85.2308414
"Forsyth, Georgia",33.0342974,-83.938242
"Franklin, Georgia",33.2776182,-85.0979973
"Fulton, Georgia",33.8033965,-84.3962535
"Gilmer, Georgia",34.6935359,-84.4802606
"Glascock, Georgia",33.2422994,-82.6267345
"Glynn, Georgia",31.2624169,-81.6035062
"Gordon, Georgia",34.4891699,-84.8567932
"Grady, Georgia",33.951868,-83.37402089999999
"Greene, Georgia",33.5186591,-83.1649001
"Gwinnett, Georgia",33.9190653,-84.01674229999999
"Habersham, Georgia",34.6478893,-83.54965659999999
"Hall, Georgia",30.8506274,-83.2908593
"Hancock, Georgia",33.2882621,-83.03613759999999
"Haralson, Georgia",33.2265099,-84.5713164
"Harris, Georgia",34.16638410000001,-84.7991621
"Hart, Georgia",34.3500039,-82.95015579999999
"Heard, Georgia",33.2990406,-85.14793639999999
"Henry, Georgia",33.4347963,-84.14351359999999
"Houston, Georgia",32.4219655,-83.63484299999999
"Irwin, Georgia",31.5893221,-83.2934086
"Jackson, Georgia",33.2945651,-83.96602089999999
"Jasper, Georgia",34.4695524,-84.4289888
"Jeff Davis, Georgia",31.8234851,-82.605118
"Jefferson, Georgia",34.1170537,-83.5723876
"Jenkins, Georgia",33.4465999,-82.1880992
"Johnson, Georgia",41.662549,-91.55115090000001
"Jones, Georgia",25.8183883,-80.2192993
"Lamar, Georgia",33.0765883,-84.14351359999999
"Lanier, Georgia",34.2218685,-83.96913459999999
"Laurens, Georgia",32.433014,-82.99316069999999
"Lee, Georgia",33.8081326,-84.3954778
"Liberty, Georgia",31.842969,-81.47183869999999
"Lincoln, Georgia",33.7875101,-82.4319405
"Long, Georgia",31.7755541,-81.8224362
"Lowndes, Georgia",30.8600022,-83.2934086
"Lumpkin, Georgia",32.0509895,-84.7990901
"Macon, Georgia",32.8406946,-83.6324022
"Madison, Georgia",33.5956813,-83.467944
"Marion, Georgia",32.328102,-84.5222189
"McDuffie, Georgia",33.5258626,-82.5185837
"McIntosh, Georgia",37.540031,-77.42967879999999
"Meriwether, Georgia",33.0561282,-84.68974949999999
"Miller, Georgia",31.2008218,-84.7315563
"Mitchell, Georgia",33.2198688,-82.7031896
"Monroe, Georgia",33.7948364,-83.713229
"Montgomery, Georgia",31.9404913,-81.1220539
"Morgan, Georgia",33.5794186,-83.46435509999999
"Murray, Georgia",33.9913144,-84.0791825
"Muscogee, Georgia",32.4794133,-84.8984775
"Newton, Georgia",33.5544296,-83.8473015
"Oconee, Georgia",33.8231988,-83.4430118
"Oglethorpe, Georgia",32.293769,-84.0610191
"Paulding, Georgia",33.9142037,-84.8984775
"Peach, Georgia",39.397756,-76.7912645
"Pickens, Georgia",34.4497166,-84.4592701
"Pierce, Georgia",34.0570239,-84.0518045
"Pike, Georgia",33.0881873,-84.3962535
"Polk, Georgia",34.0132398,-85.14793639999999
"Pulaski, Georgia",32.232644,-83.46435509999999
"Putnam, Georgia",33.3069978,-83.3789389
"Quitman, Georgia",30.7849191,-83.5598811
"Rabun, Georgia",34.9027286,-83.3789389
"Randolph, Georgia",39.0581204,-77.0490035
"Richmond, Georgia",33.3205339,-82.08429009999999
"Rockdale, Georgia",33.6752492,-84.0378894
"Schley, Georgia",32.2736136,-84.3121264
"Screven, Georgia",31.48632539999999,-82.0170596
"Seminole, Georgia",30.9331429,-84.8984775
"Spalding, Georgia",33.2636732,-84.3121264
"Stephens, Georgia",34.5458998,-83.2934086
"Stewart, Georgia",32.1141344,-84.8150781
"Sumter, Georgia",31.9981596,-84.2278796
"Talbot, Georgia",32.6891322,-84.5222189
"Taliaferro, Georgia",33.56978780000001,-82.8855961
"Tattnall, Georgia",32.0634576,-82.08429009999999
"Taylor, Georgia",36.0410104,-80.2671629
"Telfair, Georgia",31.8907647,-82.99316069999999
"Terrell, Georgia",31.7370079,-84.4802606
"Thomas, Georgia",30.40184,-86.601625
"Tift, Georgia",31.4205597,-83.54965659999999
"Toombs, Georgia",32.0795072,-82.34518899999999
"Towns, Georgia",34.9208214,-83.7199136
"Treutlen, Georgia",32.3870233,-82.5834947
"Troup, Georgia",33.0698575,-85.02334599999999
"Turner, Georgia",30.4962112,-84.25346660000001
"Twiggs, Georgia",32.68356,-83.46435509999999
"Union, Georgia",33.789418,-84.236842
"Unknown, Georgia",32.1656221,-82.9000751
"Upson, Georgia",32.9047684,-84.3121264
"Walker, Georgia",34.7048977,-85.2803718
"Walton, Georgia",33.7708613,-83.7199136
"Ware, Georgia",31.134411,-82.4752757
"Warren, Georgia",33.4470392,-82.6915429
"Washington, Georgia",32.3552519,-86.1021475
"Wayne, Georgia",31.5092107,-81.909826
"Webster, Georgia",32.0129889,-84.56414699999999
"Wheeler, Georgia",41.1914449,-96.19284599999999
"White, Georgia",33.4779066,-83.0118435
"Whitfield, Georgia",34.8033566,-84.981754
"Wilcox, Georgia",45.54327989999999,-122.6676191
"Wilkes, Georgia",33.808264,-82.7778579
"Wilkinson, Georgia",32.8024682,-83.1649001
"Worth, Georgia",31.5282489,-83.8897057
"Unknown, Guam",0,0
"Hawaii, Hawaii",19.8967662,-155.5827818
"Honolulu, Hawaii",21.3069444,-157.8583333
"Kauai, Hawaii",22.0964396,-159.5261238
"Maui, Hawaii",20.7983626,-156.3319253
"Ada, Idaho",43.478767,-116.2420304
"Adams, Idaho",44.9882561,-116.4916092
"Bannock, Idaho",42.5836362,-112.1430215
"Benewah, Idaho",47.22768070000001,-116.7843354
"Bingham, Idaho",43.2112303,-112.3624146
"Blaine, Idaho",43.4743428,-113.9664446
"Bonner, Idaho",48.2751783,-116.5931483
"Bonneville, Idaho",43.4508683,-111.5455289
"Camas, Idaho",44.00740829999999,-112.2210921
"Canyon, Idaho",45.5823846,-116.48153
"Caribou, Idaho",42.75386839999999,-111.6660725
"Cassia, Idaho",42.358036,-113.5728501
"Custer, Idaho",44.3874133,-114.6959118
"Elmore, Idaho",43.1154284,-115.5264458
"Franklin, Idaho",42.0135375,-111.8071694
"Fremont, Idaho",44.2242743,-111.4790031
"Gem, Idaho",47.5082627,-115.8679385
"Gooding, Idaho",42.9387917,-114.7131081
"Idaho, Idaho",44.0682019,-114.7420408
"Jefferson, Idaho",43.7640903,-112.2493671
"Jerome, Idaho",42.7240732,-114.5186534
"Kootenai, Idaho",47.7568407,-116.6222056
"Latah, Idaho",46.7360364,-116.6764195
"Lemhi, Idaho",44.8515919,-113.6197747
"Lincoln, Idaho",43.5129694,-111.9644136
"Madison, Idaho",43.7508332,-111.5583742
"Minidoka, Idaho",42.7537967,-113.4902829
